Age	Total number of children	Annual cost of education per child	Distance from school	Gender	Education Decision	Willingness to Sponsor	Incentive for schooling	Access to government universal basic education	Access to secondary education	Access to tertiary education	Parent Highest Education
22	4	30,000	0.9	0	1	1	0	0	1	1	1
20	4	30,000	0.9	1	1	1	0	0	1	1	5
17	4		0.9	0	1	1	0	1	1	1	4
8	3	1,200	0.9	1	1	0	1	1	1	1	3
	3	30000	3	1	1	1	1	1	1	0	3
21	3	35000	70	1	1	1	1	1	1	1	3
20	3	25000	0.9	1	1	0	0	1	1	1	3
22	3	96,000	40	1	1	1	1	1	1	1	6
24	4	15000	20	0	1	1	1	1	1	1	5
18	4	110,000	0.8	1	1	1	0	1	1	0	1
11	4	70,000	15	1	1	1	1	1	1	1	5
23	4	30,000	0.9	0	1	1	0	0	1	1	3
22	2		0.7	1	1	1	0	1	1	1	2
25	2	50,000	1	1	1	1	1	1	1	1	6
12	3	50,000	0.8	1	1	1	0	0	1	1	3
20	3	9000	0.8	0	1	1	1	1	1	1	4
15	4	30,000	0.9	1	1	1	0	1	1	1	4
20	4	30,000	0.7	1	1	1	0	1	1	1	2
18	4	100,000	1		1	1	0		1	1	1
	3	30,000	0.8	1	1	0	0	0	1	0	1
30	2		0.8	0	1	1	0	0	1	1	4
5	3	9000	0.8		1	1	0		1	0	1
	3		0.8	1	1	1	0	0	1	0	2
	3	30,000	0.8	1	1	1	0	0	1	1	4
	3		0.9	1	1	1	0	0	1	1	4
9	2		0.7	0	1	1	0	1	1	1	3
	4	70,000	1	0	1	1	0	0	1	1	4
23	2	45,000	0.8	0	1	1	0	0	1	1	3
	2	70,000	0.8	0	1	1	0	0	0	0	3
8	4	150,000	0.8	1	1	1	0	0	1	1	5
22	3	360,000	5		1	1	0		0	1	1
14	4	100,000	0.9	1	1	1	0	1	1	1	3
26	3	170,000	25	1	1	1	1	1	1	1	3
3	2	30,000	20	0	1	1	1	1	1	1	4
	3		20	0	1	1	1	1	1	1	3
	2		0.8	1	1	1	1	1	1	1	2
	4	100,000	0.8	1	0	1	0	1	1	1	2
21	4		0.8	0	1	1	0	1	1	1	3
15	4	180,000	0.8	1	1	1	0	0	1	1	1
13	3	5,000	0.8	1	1	1	0	0	1	1	5
18	2	70,000	0.9	1	1	1	0		0	1	1
22	3	45,000	5	1	1	1	0	0	1	1	1
20	3	52,000	0.7	1	1	1	0	0	1	1	4
20	2	300,000	0.7	1	1	1	1	1	1	1	1
20	3	12,000	0.8	1	1	1	0	0	1	1	3
22	2	10,000	80	1	1	1	1	1	1	1	5
22	4	170,000	55	1	1	1	1	0	1	1	5
	3		2	1	1	1	0	0	1	1	1
	3		1		1	1	0		1		1
18	2	100,000	1	1	1	0	1	1	1	0	3
24	3	1,850	1		1	0	0		0	0	1
20	5	150,000	1	1	1	1	1	0	1	1	5
28	2	4,500	1		1	1	0		0	0	1
20	3	40000	1		1	1	0		0	0	1
18	2	40,000	60	1	1	1	0	1	1	1	5
17	1	75,000	28	0	1	1	0	1	1	1	3
25	1		1	1	1	1	1	1	1	1	6
28	2	10,000	0.8	1	1	1	0	0	1	1	4
	3	24000	0.9	1	1	1	1	0	1	1	3
	5	13000	0.8	0	1	1	0	0	1	1	6
	4	10,000	25	0	1	1	1	1	1	1	5
20	4		1	1	1	1	1	0	1	1	5
28	5	250,000	1		1	1	0		0	1	1
20	3				1		0				1
30	5		0.8	1	1	1	0	1	1	1	5
	4				1		0				1
	3		0.9	1	1	1	1	1	1	1	5
	2	5,000	2	0	1		0	0	1	1	3
18	4	7,000	25	1	1	1	0	1	1	1	5
17	3	27,000	22	0	1	1	0	1	1	1	3
18	4	100,000	0.7	0	1	1	0	0	1	0	1
24	5		0.7	1	1	0	0	0	1	1	3
29	1		0.9	0	1	1	0	0	1	1	4
25	5		0.7	1	1	1	0	0	1	1	2
28	3		20	0	1	1	1	1	1	1	5
15	3	10,000	20		1	1	0			0	1
15	2		1		1	1	0				1
20	2	4,500	1	1	1	1	1	1	1	1	4
17	5		0.7	1	1	1	0	1	1	1	4
	4		0.9	1	1	1	0	1	1	1	5
6	3		5	1	1	0	0	1	1	1	3
22	3	250,000	0.7	0	1	1	0	0	1	1	3
20	2	35,000	0.8	1	1	1	0	0	1	1	5
23	4	384,000	0.9	1	1	0	1	1	1	1	5
27	5	45,000	0.9		1	0	0		0	1	1
7	4	25,000	0.8	1	1	0	0	0	1	1	3
17	3	60,000	0.9	0	1	1	0	1	1	1	4
23	2	52,000	0.7	0	1	1	0	0	1	1	3
24	4	300,000	0.8	1	1	1	0	1	1	1	4
	4	12,000	0.9		1		0		0	1	1
27	4		0.8	0	1	1	0	0	1	1	5
	6				1		0				
3	4				1		0				
20	3	230,000	8		1		0			1	1
21	4	2000	4		1		0		0	1	1
15	4	5,000	6	0	1	1	0	0	1	0	3
20	4	30,000	0.9	1	0	0	0	0	1	1	1
25	3		0.9	1	1	0	0	0	0	0	1
17	3		0.9	1	1	1	0	0	1	1	3
6	2		0.8		1		0				
	2				1	0	0				
22	3				1	0	0				
31	3	65,000	58		1	0	0				
	4	15,000	5	1	1	1	0	1	1	1	4
13	3	30,000	5		1	0	0			1	
6	4		5	1	1	0	0	1	1	1	3
	3	40000	4		1	0	0			0	1
3	2	17,500	7		1	0	0			1	1
